882408,1,101,,141 Brunel Road,Mississauaga,Ontario,L4Z1X3,Central Region
880655,2,,,50 Hallcrown Place,Toronto,Ontario,M2J1P7,Central Region
885186,3,200,,2425 Eglinton Ave East Ave,Toronto,Ontario,M1K5G8,East Region
669367,4,,,8787 McHugh,Windsor,Ontario,N8S0A1,West Region
877417,5,,,305 Matheson Boulevard East,Mississauga,Ontario,L4Z1X8,Central Region
884091,6,102,,1440 Don Mills Road,Toronto,Ontario,M3B3M1,Central Region
885298,7,,,750 Spadina Ave,Toronto,Ontario,M5S2J2,Toronto Region
884144,8,,,27 Bernick Drive,Barrie,Ontario,L4M5C1,Central Region
666320,9,121,,2550 Argentia Road,Mississauga,Ontario,L5N5R1,Central Region
886708,10,2A,,435 King Street North,Waterloo,Ontario,N2J2Z5,West Region
669075,11,13,,121 Granton Dr.,Richmond Hill,Ontario,L4B3N4,Central Region
886199,12,114,,284 Queen Street East,Brampton,Ontario,L6V1C2,Central Region
668692,13,C,,250 Ferrier Street,Markham,Ontario,L3R2Z5,Central Region
669799,14,2,,351 Ferrier Street,Markham,Ontario,L3R5Z2,Central Region
889552,15,,,782 BROWNS LINE,ETOBICOKE,Ontario,M8W3W2,West Region
882622,16,4,,505 Ellesmere Road,Toronto,Ontario,M1R4E5,East Region
888147,17,,,24 Sandridge Rd,Ottawa,Ontario,K1K0A8,East Region
669557,18,,,5568 Creditrise Place,Mississauga,Ontario,L5M6E3,Central Region
668910,19,,,1230 15th Sideroad Road,King City,Ontario,L7B1K5,Central Region
667321,20,,,1640A Avenue Road,Toronto,Ontario,M5M3X9,Toronto Region
669111,21,,,2723 ST. CLAIR EAST AVE.,EAST YORK,Ontario,M4B1M8,Toronto Region
877808,22,4th floor,,557 Church Street,Toronto,Ontario,M4Y2E2,Toronto Region
665161,23,Lower level,,7810 ON 89,Alliston,Ontario,L9R1V5,Central Region
878987,24,,,1085 Grenon Ave,Ottawa,Ontario,K2B8L7,East Region
889470,25,,,70 Fieldrow Street,Ottawa,Ontario,K2G2Y7,East Region
886295,26,,,270 Yorkland Boulevard,Toronto,Ontario,M2J5C9,Central Region
668358,27,103,,235 Dixon Road,Etobicoke,Ontario,M9P2M5,Central Region
884149,28,,,45 des Benevoles Street,Limoges,Ontario,K0A2M0,East Region
876330,29,,,12 Bond Cres,Richmond Hill,Ontario,L4E3K2,Central Region
883776,30,3rd Floor,,345 Sorauren Ave,Toronto,Ontario,M6R2G5,Toronto Region
883027,31,,,128 Willowdale Ave,Toronto,Ontario,M2N4Y2,Central Region
668977,32,103,,5101 Dundas Street West St,ETOBICOKE,Ontario,M9A5G8,Central Region
668797,33,,,2716 Victoria Park Avenue,North York,Ontario,M2J4A7,East Region
668083,34,488,,1 Greystone Walk Dr.,Scarborough,Ontario,M1K5J3,East Region
883708,35,,,1767 Queen St E,Toronto,Ontario,M4L3Z2,Toronto Region
666548,36,,,998 Frances rue,Ottawa,Ontario,K1K3L5,East Region
876275,37,,,925 Cousineau Rd,Windsor,Ontario,N9G1V8,West Region
878731,38,200,,1010 Morrison Drive,Ottawa,Ontario,K2H8K7,East Region
668878,39,,,131 Brunel Road,Mississauga,Ontario,L4Z1X3,Central Region
884408,40,,1240,2000 Beaver Creek Drive,Gravenhurst,Ontario,P1P1W9,Central Region
880977,41,,190,1455 Bath Road,Kingston,Ontario,K7L4V9,East Region
669520,42,,,1575 Homer Watson Blvd.,Kitchener,Ontario,N2P2C5,West Region
881692,43,,,3766 HWY 15 Joyceville,Kingston,Ontario,K0H1Y0,East Region
667407,44,,,5775 Bath Road,Bath,Ontario,K0H1G0,East Region
881407,45,,,15847 County Road 29,Warkworth,Ontario,K0K3K0,East Region
669779,46,,,111 Murray Street,Ottawa,Ontario,K1N5M5,East Region
877514,47,,,4340 Dufferin St,Toronto,Ontario,M3H5R9,Central Region
663832,48,,,48 Syrette Lake Rd,Garden River,Ontario,P6A5K9,North Region
665717,49,,,805 SHELBORNE ST,London,Ontario,N5Z5C6,West Region
667455,50,,,188 Shorting Road,Scarborough,Ontario,M1S3S7,East Region
875546,51,,,43 Chaplin Ave,St. Catharines,Ontario,L2R2E4,West Region
883230,52,203,,1001 Sandhurst Circle East,Scarborough,Ontario,M1V1Z6,East Region
878456,53,,,2575 Midland Ave,Toronto,Ontario,M1S1R3,East Region
663689,54,,168,,Big Trout Lake,Ontario,P0V1G0,North Region
665293,55,103,,126 Wellington St. W,Aurora,Ontario,L4G2N9,Central Region
665991,56,,,3025 Albion Rd North RD,Ottawa,Ontario,K1V9V9,East Region
883477,57,,,1194 Matheson Blvd East,Mississauga,Ontario,L4W1R2,Central Region
665328,58,,,3707 Queen Street,Windsor,Ontario,N9C1P2,West Region
884857,59,303,,800 queenston road,Stoney Creek,Ontario,L8G2N4,West Region
877760,60,5,,100 McLevin Ave,Scarborough,Ontario,M1B5K1,East Region
881297,61,,,2825 DuMaurier Avenue,Ottawa,Ontario,K2B7W3,East Region
883124,62,16,,690 Progress Avenue,Scarborough,Ontario,M1H3A6,East Region
666537,63,,,120 Bermondsey Rd,Toronto,Ontario,M4A1X5,Toronto Region
669831,64,,,"1135 Central Parkway, West",Mississauga,Ontario,L5C3J2,Central Region
667635,65,,,270 Windsor St,Thunder Bay,Ontario,P7B1V6,Toronto Region
884792,66,201,,389 Main Street North,Brampton,Ontario,L6X3P1,Central Region
887920,67,,,2074 Kipling Ave,Etobicoke,Ontario,M9W4J4,Central Region
878472,68,,,391 Burnhamthorpe Rd E,Oakville,Ontario,L6H7B4,Central Region
667583,69,,,65 Rexdale Blvd,Toronto,Ontario,M9W1P1,Central Region
878090,70,,,5100 Howard Ave,Old Castle,Ontario,N9H0M3,West Region
886011,71,,,2050 KIPLING AVE,Etobicoke,Ontario,M9W4J9,Central Region
876585,72,,,12 Beech Street,Brampton,Ontario,L6V1V1,Central Region
876003,73,,,3665 Lawrence Avenue East,Scarborough,Ontario,M1G1P7,East Region
669809,74,,,8333 Willoughby Drive,Niagara Falls,Ontario,L2G6X4,West Region
667350,75,208,,3482 Lawrence Ave East,Scarborough,Ontario,M1H3E5,East Region
665670,76,15,,1224 Dundas Street E,MISSISSAUGA,Ontario,L4Y4A2,Central Region
669858,77,,,1485 Janette Avenue,Windsor,Ontario,N8X1Z2,West Region
665037,78,,,1837 Churchill Ave.,London,Ontario,N5W2L3,West Region
669761,79,,,1065 MCNICOLL AVE,SCARBOROUGH,Ontario,M1W3W6,East Region
881704,80,110,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,East Region
883648,81,112,,1446 Don Mills Road,Toronto,Ontario,M3B3N3,East Region
885126,82,,,160 Dundas St W,Belleville,Ontario,K8P1A6,East Region
666998,83,2,,20 Tangreen Crt.,Toronto,Ontario,M2M3Y9,Central Region
669480,84,,,874 Sinclair Rd,Oakville,Ontario,L6K2H3,Central Region
883467,85,,,2 Wembley Road,Toronto,Ontario,M6C2E9,Toronto Region
669389,86,504,,3050 Confederation Pkwy,Mississauga,Ontario,L5B3Z6,Central Region
881724,87,,,4428 Adjala-Tecumseth Townline,Alliston,Ontario,L9R1V4,Central Region
882302,88,200/210,,6120 A Yonge St,North York,Ontario,M2M3W7,Central Region
668857,89,203,,10670 Yonge Street,Richmond Hill,Ontario,L4C3C9,Central Region
882017,90,"B6, 7, 8",,1625 Albion Road,Etobicoke,Ontario,M9V5H8,Central Region
882652,91,,,4140 Finch Ave E,Scarborough,Ontario,M1S3T9,East Region
886398,92,,,292257 Culloden Line,Brownsville,Ontario,N0L1C0,West Region
669258,93,,,2031 Stittsville Main St,Stittsville,Ontario,K2S1B8,East Region
667063,94,Unit 201,,7100 Birchmount Road,Markham,Ontario,L3R4H2,East Region
884298,95,,,7100 Birchmount Road,Markham,Ontario,L3R4H2,Central Region
882140,96,201,,201 Consumers Rd,North York,Ontario,M2J4G8,Toronto Region
885709,97,200,,2020 Winston Park Drive,Oakville,Ontario,L6H6X7,Central Region
667049,98,200,,2010 Winston Park Drive,Oakville,Ontario,L6H5R7,Central Region
883535,99,,,209 Lichen Cres,Oshawa,Ontario,L1J7W2,East Region
887447,100,,,2740 Chalmers-Forrest Road 1,Millbank,Ontario,N0K1L0,West Region
887846,101,,,4036 Line 76 1,Newton,Ontario,N0K1R0,West Region
887854,102,,,4286 Line 67 1,Milverton,Ontario,N0K1M0,West Region
887706,103,,,4852 Line 72 2,Milverton,Ontario,N0K1M0,West Region
889687,104,,,6327 Road 116 1,Milverton,Ontario,N0K1M0,West Region
882631,105,,,5124 B Line 62 2,Milverton,Ontario,N0K1M0,West Region
876364,106,6943,,129 Perth Road,Newton,Ontario,N0K1R0,West Region
665285,107,,,7023 Road 136 1,Newton,Ontario,N0K1R0,West Region
877115,108,,,1480 Janette Ave,Windsor,Ontario,N8X1Z4,West Region
669477,109,14,,2171 Dunwin Drive,Mississauga,Ontario,L5L1X2,Central Region
885063,110,220,,410 Adelaide Street West,Toronto,Ontario,M5V1S8,Toronto Region
668639,111,200,,80 Sheppard Avenue West,Toronto,Ontario,M2N1M2,Central Region
885924,112,,,540 Lakeshore Rd W,Oakville,Ontario,L6K3P1,Central Region
666009,113,,,72 Orchard Drive,Belleville,Ontario,K8P2K7,East Region
882456,114,06-Jan,,333 Fairhill Avenue,Brampton,Ontario,L7A3N9,Central Region
888701,115,1&2,,18 Automatic road,Brampton,Ontario,L6S5N5,Central Region
884122,116,,,5986 Eighth Line,Ariss,Ontario,N0B1B0,West Region
665719,117,,,900 York Mills Road,North York,Ontario,M3B3H2,Central Region
889722,118,,,"Level 2, 124 Cedar Street",Sudbury,Ontario,P3E3L6,North Region
880779,119,,,245 St Clair Ave W,Toronto,Ontario,M4V1R3,Toronto Region
665378,120,,340,161 Eliza Street,Arthur,Ontario,N0G1A0,West Region
876798,121,,,9000 Bathurst St,Thornhill,Ontario,L4J8A7,Central Region
886297,122,,,362 Mariposa Ave,Ottawa,Ontario,K1M0T3,East Region
884822,123,,,3430 Fairview Street,Burlington,Ontario,L7N2R5,West Region
881729,124,,,165 Shields Court,Markham,Ontario,L3R8V2,Central Region
